
Task1 Solution (Block Perspective) of Teaching Assistant:

                J18, B09, runTime 073.7 to 076.7
                J18, B22, runTime 076.7 to 078.5
                J18, B02, runTime 078.5 to 080.3
                J01, B12, runTime 080.3 to 088.1
                J01, B11, runTime 088.1 to 092.5
                J16, B02, runTime 144.6 to 149.6
                J16, B19, runTime 149.6 to 154.5
                J16, B07, runTime 154.5 to 158.9
                J16, B18, runTime 158.9 to 163.2
                J16, B13, runTime 163.2 to 166.9
                J16, B17, runTime 166.9 to 170.4
                J16, B01, runTime 170.4 to 173.3
                J16, B30, runTime 173.3 to 175.7
                J16, B20, runTime 175.7 to 177.3
                J16, B26, runTime 177.3 to 178.9
                J16, B00, runTime 178.9 to 180.3
                J16, B05, runTime 180.3 to 181.3
                J19, B00, runTime 181.4 to 188.8
                J00, B01, runTime 192.0 to 195.8
                J00, B23, runTime 195.8 to 199.5
                J00, B27, runTime 199.5 to 202.8
                J00, B22, runTime 202.8 to 205.5
                J00, B26, runTime 205.5 to 207.1
                J00, B04, runTime 207.1 to 208.6
                J00, B25, runTime 208.6 to 209.7
                J11, B03, runTime 238.8 to 244.9
                J11, B22, runTime 244.9 to 250.9
                J11, B07, runTime 250.9 to 254.0
                J11, B23, runTime 254.0 to 257.1
                J09, B02, runTime 258.5 to 263.0
                J09, B12, runTime 263.0 to 267.4
                J17, B10, runTime 269.3 to 284.0
                J02, B10, runTime 286.2 to 300.4
                J02, B20, runTime 300.4 to 308.1
                J02, B17, runTime 308.1 to 311.9

        Core1 has 50 tasks and finishes at time 311.5:
                J12, B11, runTime 000.0 to 010.3
                J12, B15, runTime 010.3 to 014.0
                J15, B00, runTime 014.6 to 024.6
                J15, B01, runTime 024.6 to 027.8
                J03, B15, runTime 035.9 to 045.3
                J03, B10, runTime 045.3 to 050.1
                J03, B20, runTime 050.1 to 053.5
                J01, B01, runTime 080.3 to 087.2
                J01, B02, runTime 087.2 to 092.0
                J07, B33, runTime 122.4 to 128.2
                J07, B16, runTime 128.2 to 133.5
                J07, B23, runTime 133.5 to 137.9
                J07, B01, runTime 137.9 to 141.3
                J07, B20, runTime 141.3 to 143.1
                J07, B11, runTime 143.1 to 144.5
                J16, B34, runTime 144.6 to 149.6
                J16, B29, runTime 149.6 to 154.2
                J16, B10, runTime 154.2 to 158.7
                J16, B03, runTime 158.7 to 163.1
                J16, B24, runTime 163.1 to 167.1
                J16, B33, runTime 167.1 to 170.4
